runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
BiasedLexRank.AU_08,1,0.200000,0.224048,0.247832,0.247832,0.286271,0.310051,0.340382,0.340128,0.200000,0.246290,0.321638,0.321638,0.271692,0.312833,0.399759,0.398513,0.204775,0.302576,0.052640,0.200000,0.220000,0.250000,0.233333,0.200000,0.400000,0.600000,0.600000
BiasedLexRank.AU_08,3,0.236309,0.236072,0.246372,0.249147,0.344053,0.329605,0.341007,0.344722,0.256725,0.255968,0.289199,0.302860,0.357535,0.327908,0.361531,0.378039,0.218768,0.325999,0.049089,0.240000,0.220000,0.210000,0.213333,0.400000,0.400000,0.600000,0.600000
BiasedLexRank.AU_08,5,0.378820,0.391370,0.400314,0.402036,0.574312,0.565504,0.572414,0.574630,0.384530,0.414143,0.445393,0.452972,0.556747,0.544595,0.568663,0.577346,0.367840,0.576202,0.060317,0.240000,0.220000,0.240000,0.273333,0.600000,0.600000,0.600000,0.600000
BiasedLexRank.AU_08,6,0.200000,0.200000,0.211098,0.215879,0.275531,0.267511,0.280761,0.286940,0.200000,0.200000,0.234120,0.255473,0.261952,0.247105,0.284503,0.309628,0.200037,0.281944,0.044660,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.400000
BiasedLexRank.AU_08,7,0.248411,0.248096,0.259187,0.264410,0.339256,0.328722,0.342177,0.349014,0.265855,0.264976,0.299074,0.323493,0.343583,0.322677,0.360475,0.389638,0.237537,0.333386,0.071958,0.240000,0.220000,0.210000,0.220000,0.400000,0.400000,0.600000,0.600000
BiasedLexRank.AU_08,8,0.419970,0.453599,0.467976,0.476202,0.590136,0.618404,0.634147,0.645154,0.433288,0.502963,0.556891,0.595404,0.573850,0.627738,0.683368,0.729981,0.413438,0.603183,0.072385,0.280000,0.260000,0.270000,0.286667,0.600000,0.800000,1.000000,1.000000
BiasedLexRank.AU_08,9,0.236309,0.288713,0.305700,0.314785,0.348350,0.406897,0.426715,0.439153,0.256725,0.365056,0.420611,0.467336,0.362633,0.471326,0.528490,0.585849,0.226121,0.341046,0.058111,0.240000,0.260000,0.280000,0.280000,0.400000,0.800000,0.800000,1.000000
BiasedLexRank.AU_08,10,0.344327,0.374150,0.381399,0.384086,0.500880,0.522420,0.528394,0.531954,0.408894,0.470951,0.496510,0.510089,0.566235,0.600646,0.619460,0.635603,0.300354,0.450188,0.066923,0.320000,0.300000,0.270000,0.260000,0.800000,1.000000,1.000000,1.000000
BiasedLexRank.AU_08,11,0.440545,0.466676,0.487182,0.489123,0.599177,0.617342,0.641251,0.643690,0.452006,0.511874,0.577961,0.588146,0.582440,0.624615,0.695354,0.707080,0.437877,0.610684,0.073885,0.320000,0.280000,0.290000,0.280000,0.600000,0.800000,1.000000,1.000000
BiasedLexRank.AU_08,12,0.320726,0.321244,0.324509,0.325100,0.472792,0.452743,0.453038,0.453563,0.361395,0.361911,0.373692,0.376656,0.510484,0.467266,0.469797,0.472223,0.296876,0.447761,0.051074,0.280000,0.240000,0.220000,0.213333,0.600000,0.600000,0.600000,0.600000
