runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
DivRank.AU_09,1,0.261120,0.293460,0.314739,0.323070,0.373755,0.406108,0.432273,0.443385,0.288147,0.361131,0.426762,0.463433,0.391436,0.458703,0.530416,0.574197,0.244519,0.361302,0.058906,0.240000,0.280000,0.270000,0.260000,0.400000,0.600000,0.800000,1.000000
DivRank.AU_09,3,0.200000,0.215997,0.234682,0.243943,0.291189,0.301577,0.324827,0.337522,0.200000,0.239040,0.300634,0.344768,0.278535,0.306223,0.375827,0.430350,0.200630,0.298971,0.043777,0.200000,0.200000,0.210000,0.213333,0.200000,0.400000,0.600000,0.800000
DivRank.AU_09,5,0.503480,0.516648,0.523602,0.530756,0.763303,0.746522,0.748704,0.758609,0.532013,0.557842,0.584017,0.621292,0.770283,0.733557,0.745654,0.791882,0.492588,0.771613,0.082171,0.320000,0.280000,0.260000,0.280000,0.800000,0.800000,0.800000,1.000000
DivRank.AU_09,6,0.410893,0.432713,0.436862,0.438842,0.566069,0.578777,0.581028,0.583294,0.468772,0.518151,0.530798,0.539906,0.613979,0.640188,0.645027,0.654354,0.386358,0.544557,0.085846,0.320000,0.320000,0.270000,0.266667,0.800000,0.800000,0.800000,0.800000
DivRank.AU_09,7,0.298941,0.348185,0.352484,0.357705,0.408264,0.461338,0.465346,0.472161,0.334505,0.439385,0.452635,0.479682,0.432304,0.535064,0.545563,0.577764,0.282938,0.397108,0.052657,0.200000,0.260000,0.240000,0.240000,0.600000,0.800000,0.800000,1.000000
DivRank.AU_09,8,0.316490,0.372168,0.391050,0.393138,0.444728,0.507386,0.529906,0.532621,0.369598,0.490751,0.548376,0.558909,0.489497,0.612497,0.672920,0.685236,0.282776,0.412555,0.058465,0.240000,0.260000,0.270000,0.280000,0.800000,1.000000,1.000000,1.000000
DivRank.AU_09,9,0.304085,0.351017,0.372505,0.377818,0.448260,0.494704,0.519966,0.527090,0.328766,0.436652,0.510196,0.536053,0.464394,0.563765,0.641052,0.671993,0.299779,0.452140,0.060199,0.320000,0.320000,0.280000,0.260000,0.400000,0.800000,1.000000,1.000000
DivRank.AU_09,10,0.295310,0.323128,0.340929,0.348045,0.429577,0.451178,0.472326,0.482037,0.354127,0.411690,0.478496,0.513638,0.490394,0.525066,0.596986,0.640025,0.247668,0.371219,0.063004,0.240000,0.220000,0.260000,0.253333,0.800000,0.800000,1.000000,1.000000
DivRank.AU_09,11,0.356430,0.403931,0.410559,0.416876,0.484774,0.534339,0.540396,0.548612,0.398859,0.496234,0.516150,0.549395,0.513957,0.605529,0.620988,0.660492,0.344845,0.480938,0.064254,0.280000,0.300000,0.260000,0.273333,0.600000,0.800000,0.800000,1.000000
DivRank.AU_09,12,0.335250,0.371781,0.379141,0.379495,0.494202,0.523969,0.529309,0.529452,0.391230,0.468681,0.493044,0.494694,0.552626,0.605118,0.619844,0.620209,0.300185,0.452751,0.057463,0.240000,0.260000,0.250000,0.246667,0.800000,0.800000,0.800000,0.800000
DivRank.AU_09,13,0.511346,0.532995,0.549346,0.554095,0.902778,0.886396,0.902263,0.909242,0.541504,0.594486,0.644442,0.667392,0.868708,0.852193,0.893716,0.922290,0.499564,0.930706,0.073449,0.360000,0.300000,0.310000,0.300000,0.800000,1.000000,1.000000,1.000000
DivRank.AU_09,14,0.458699,0.478594,0.498637,0.502980,0.665204,0.667313,0.688861,0.694486,0.491693,0.535834,0.603447,0.622278,0.681064,0.685943,0.752455,0.774211,0.433550,0.644708,0.057629,0.280000,0.260000,0.270000,0.280000,0.800000,0.800000,1.000000,1.000000
DivRank.AU_09,16,0.326172,0.372989,0.394768,0.396303,0.458333,0.509861,0.535959,0.537852,0.361874,0.474329,0.540865,0.548194,0.479268,0.594728,0.665171,0.673194,0.312100,0.455629,0.061823,0.240000,0.260000,0.300000,0.293333,0.600000,1.000000,1.000000,1.000000
DivRank.AU_09,18,0.292890,0.334507,0.355436,0.357016,0.411565,0.455764,0.481616,0.483611,0.329940,0.420340,0.490884,0.498704,0.436974,0.524101,0.602570,0.611411,0.271752,0.396418,0.053947,0.200000,0.220000,0.270000,0.266667,0.600000,0.800000,1.000000,1.000000
DivRank.AU_09,21,0.306203,0.357897,0.381206,0.383841,0.453405,0.509073,0.537620,0.541070,0.335919,0.439918,0.512588,0.525308,0.470801,0.569102,0.647411,0.662142,0.300471,0.463437,0.071041,0.240000,0.240000,0.270000,0.280000,0.600000,0.800000,1.000000,1.000000
DivRank.AU_09,22,0.321634,0.371462,0.397451,0.399717,0.439256,0.492180,0.524661,0.527581,0.362117,0.466942,0.551405,0.562032,0.467989,0.568622,0.664460,0.676887,0.304405,0.427237,0.065164,0.280000,0.300000,0.280000,0.286667,0.600000,1.000000,1.000000,1.000000
DivRank.AU_09,23,0.372466,0.404189,0.421291,0.428365,0.672678,0.688382,0.704395,0.714997,0.379479,0.453029,0.504487,0.542132,0.629533,0.671840,0.711757,0.759810,0.361092,0.680477,0.107857,0.240000,0.220000,0.230000,0.233333,0.600000,0.800000,0.800000,1.000000
DivRank.AU_09,24,0.436914,0.438675,0.444796,0.450892,0.524519,0.515948,0.521520,0.528629,0.453478,0.457176,0.480623,0.511150,0.533206,0.515455,0.536973,0.570899,0.424791,0.517435,0.063963,0.360000,0.320000,0.310000,0.300000,0.600000,0.600000,0.600000,0.800000
DivRank.AU_09,25,0.313464,0.352722,0.364282,0.364542,0.440476,0.482186,0.494687,0.494833,0.359982,0.443295,0.486129,0.487332,0.476762,0.555845,0.598241,0.598666,0.286246,0.417893,0.057359,0.240000,0.260000,0.260000,0.260000,0.600000,0.800000,1.000000,1.000000
