runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
GrassHopper.AU_07,1,0.272617,0.292756,0.305669,0.312195,0.390212,0.405134,0.419816,0.428460,0.283100,0.325309,0.366829,0.400333,0.384580,0.413201,0.455925,0.496016,0.277385,0.409866,0.058282,0.240000,0.240000,0.250000,0.246667,0.400000,0.600000,0.600000,0.800000
GrassHopper.AU_07,3,0.283812,0.301184,0.306526,0.308536,0.413216,0.420515,0.424267,0.426894,0.319242,0.357019,0.375768,0.385911,0.444601,0.457360,0.469752,0.481706,0.260843,0.388697,0.044508,0.240000,0.220000,0.220000,0.220000,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_07,5,0.378820,0.391370,0.402249,0.403347,0.574312,0.565504,0.575180,0.576504,0.384530,0.414143,0.449557,0.454568,0.556747,0.544595,0.573980,0.579380,0.367871,0.576251,0.062865,0.240000,0.220000,0.250000,0.266667,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_07,6,0.200000,0.200000,0.211098,0.215490,0.275531,0.267511,0.280761,0.286423,0.200000,0.200000,0.234120,0.254938,0.261952,0.247105,0.284503,0.308979,0.200037,0.281944,0.043712,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.400000
GrassHopper.AU_07,7,0.248411,0.248096,0.263718,0.266166,0.339256,0.328722,0.348159,0.351332,0.265855,0.264976,0.314847,0.326822,0.343583,0.322677,0.379487,0.393649,0.237573,0.333438,0.070851,0.240000,0.220000,0.220000,0.226667,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_07,8,0.412708,0.451538,0.466855,0.475989,0.579932,0.615594,0.632628,0.644866,0.420550,0.501224,0.556341,0.599735,0.556979,0.625568,0.682694,0.735291,0.411693,0.600638,0.070406,0.240000,0.260000,0.270000,0.286667,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_07,9,0.236309,0.288713,0.305834,0.317271,0.348350,0.406897,0.426902,0.442622,0.256725,0.365056,0.420783,0.471277,0.362633,0.471326,0.528707,0.590790,0.226122,0.341046,0.058451,0.240000,0.260000,0.280000,0.273333,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_07,10,0.356430,0.381304,0.389740,0.395535,0.518486,0.532408,0.539950,0.547811,0.417517,0.474231,0.501776,0.529492,0.578176,0.604830,0.626031,0.659780,0.317429,0.475781,0.065950,0.320000,0.280000,0.270000,0.266667,0.800000,1.000000,1.000000,1.000000
GrassHopper.AU_07,11,0.433283,0.464615,0.486818,0.489688,0.589300,0.614615,0.640772,0.644433,0.439267,0.510136,0.578132,0.591999,0.566026,0.622493,0.695559,0.711711,0.436205,0.608353,0.070537,0.280000,0.280000,0.290000,0.280000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_07,12,0.296520,0.297196,0.300464,0.306276,0.437110,0.418852,0.419470,0.427300,0.344151,0.344896,0.356683,0.386486,0.486125,0.445298,0.448414,0.484546,0.259376,0.391202,0.049695,0.280000,0.240000,0.220000,0.213333,0.600000,0.600000,0.600000,0.800000
