runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
LexRank.AU_06,1,0.236309,0.250500,0.260286,0.262004,0.338242,0.346658,0.357487,0.359577,0.256725,0.293532,0.326137,0.333420,0.348750,0.372840,0.405350,0.413110,0.219062,0.323688,0.052962,0.240000,0.240000,0.240000,0.233333,0.400000,0.600000,0.600000,0.600000
LexRank.AU_06,3,0.200000,0.200000,0.211098,0.220232,0.291189,0.279241,0.292183,0.304715,0.200000,0.200000,0.234120,0.276209,0.278535,0.256211,0.292677,0.344773,0.200037,0.298086,0.049568,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.600000
LexRank.AU_06,5,0.378820,0.378958,0.396702,0.398423,0.574312,0.547570,0.567248,0.569467,0.384530,0.384736,0.441782,0.449361,0.556747,0.505924,0.564052,0.572744,0.367273,0.575315,0.060619,0.240000,0.220000,0.240000,0.273333,0.600000,0.600000,0.600000,0.600000
LexRank.AU_06,6,0.200000,0.200000,0.213115,0.217694,0.275531,0.267511,0.283444,0.289352,0.200000,0.200000,0.236237,0.257313,0.261952,0.247105,0.287076,0.311858,0.200147,0.282099,0.044076,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.400000
LexRank.AU_06,7,0.248411,0.248096,0.248090,0.258920,0.339256,0.328722,0.327526,0.341768,0.265855,0.264976,0.264954,0.314321,0.343583,0.322677,0.319350,0.378591,0.237500,0.333335,0.075165,0.240000,0.220000,0.210000,0.220000,0.400000,0.400000,0.400000,0.600000
LexRank.AU_06,8,0.429047,0.443492,0.457215,0.472161,0.602891,0.604624,0.619564,0.639680,0.450953,0.481919,0.524043,0.591655,0.597244,0.601475,0.643060,0.725384,0.410878,0.599448,0.072581,0.280000,0.260000,0.260000,0.293333,0.800000,0.800000,0.800000,1.000000
LexRank.AU_06,9,0.277458,0.306533,0.324091,0.332345,0.409010,0.432011,0.452387,0.463651,0.316808,0.378970,0.433757,0.475658,0.447503,0.489291,0.545008,0.596282,0.249895,0.376902,0.058357,0.280000,0.260000,0.270000,0.273333,0.600000,0.800000,0.800000,1.000000
LexRank.AU_06,10,0.379425,0.399490,0.400463,0.405335,0.551937,0.557801,0.554805,0.561384,0.438789,0.487829,0.490743,0.512301,0.607633,0.622173,0.612266,0.638359,0.345819,0.518333,0.067732,0.320000,0.280000,0.250000,0.253333,0.800000,1.000000,1.000000,1.000000
LexRank.AU_06,11,0.432375,0.445583,0.473188,0.478422,0.588066,0.589439,0.622831,0.629608,0.440288,0.468857,0.553506,0.578252,0.567340,0.572123,0.665932,0.695184,0.431296,0.601507,0.074627,0.320000,0.280000,0.280000,0.286667,0.600000,0.600000,1.000000,1.000000
LexRank.AU_06,12,0.281997,0.294791,0.296925,0.298261,0.415700,0.415463,0.414529,0.416119,0.318674,0.342905,0.350713,0.356853,0.450139,0.442727,0.440908,0.447395,0.257032,0.387666,0.049344,0.240000,0.240000,0.220000,0.213333,0.600000,0.600000,0.600000,0.600000
