runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MMR.AU_01,1,0.357337,0.400971,0.416030,0.417290,0.511477,0.554889,0.571391,0.572693,0.405681,0.498600,0.546561,0.552447,0.551100,0.633313,0.679311,0.684486,0.336942,0.497868,0.071021,0.320000,0.320000,0.300000,0.273333,0.800000,1.000000,1.000000,1.000000
MMR.AU_01,3,0.257186,0.267149,0.284809,0.300243,0.374449,0.372995,0.394209,0.415420,0.285143,0.305312,0.359181,0.429058,0.397112,0.391122,0.449017,0.535564,0.237355,0.353696,0.055662,0.240000,0.240000,0.260000,0.260000,0.400000,0.400000,0.600000,1.000000
MMR.AU_01,5,0.345234,0.374149,0.392903,0.393661,0.523394,0.540620,0.561816,0.562660,0.331711,0.393870,0.460729,0.464156,0.480272,0.517935,0.588244,0.591601,0.353458,0.553673,0.126382,0.240000,0.240000,0.250000,0.240000,0.400000,0.600000,0.800000,0.800000
MMR.AU_01,6,0.323147,0.356301,0.373811,0.379795,0.445185,0.476571,0.497170,0.504811,0.367433,0.445106,0.505483,0.533447,0.481250,0.549939,0.614264,0.646527,0.297926,0.419916,0.093700,0.240000,0.260000,0.260000,0.253333,0.600000,0.800000,1.000000,1.000000
MMR.AU_01,7,0.473222,0.524460,0.536206,0.539059,0.646281,0.694899,0.707895,0.711543,0.495028,0.609101,0.649634,0.662073,0.639759,0.741737,0.783008,0.797449,0.466971,0.655400,0.098647,0.280000,0.340000,0.330000,0.313333,0.800000,1.000000,1.000000,1.000000
MMR.AU_01,8,0.398185,0.435848,0.445248,0.446460,0.559524,0.594203,0.603349,0.604861,0.482562,0.566388,0.596739,0.602803,0.639108,0.706898,0.732267,0.739051,0.341124,0.497681,0.075671,0.320000,0.320000,0.270000,0.260000,1.000000,1.000000,1.000000,1.000000
MMR.AU_01,9,0.462330,0.513907,0.528742,0.529601,0.681534,0.724272,0.738051,0.738841,0.494579,0.604985,0.652058,0.656149,0.698610,0.781101,0.819299,0.822545,0.442743,0.667763,0.070960,0.320000,0.260000,0.280000,0.280000,0.800000,1.000000,1.000000,1.000000
MMR.AU_01,10,0.363691,0.401140,0.433100,0.438836,0.529049,0.560105,0.600021,0.607782,0.358450,0.447418,0.548643,0.574152,0.496380,0.570632,0.684504,0.715429,0.364450,0.546259,0.078418,0.240000,0.220000,0.240000,0.233333,0.400000,0.800000,1.000000,1.000000
MMR.AU_01,11,0.395764,0.441040,0.458823,0.460735,0.538272,0.583430,0.603923,0.606332,0.450533,0.549398,0.602604,0.611385,0.580543,0.670403,0.725001,0.735018,0.375164,0.523222,0.078158,0.280000,0.280000,0.300000,0.280000,0.800000,1.000000,1.000000,1.000000
MMR.AU_01,12,0.337065,0.374415,0.385151,0.396819,0.496878,0.527681,0.537699,0.553622,0.377498,0.454344,0.489550,0.543001,0.533230,0.586608,0.615452,0.680773,0.322151,0.485881,0.074065,0.280000,0.260000,0.270000,0.260000,0.600000,0.800000,0.800000,1.000000
MMR.AU_01,13,0.298941,0.335653,0.365049,0.368957,0.527778,0.558207,0.599568,0.605440,0.334505,0.417335,0.516760,0.535214,0.536630,0.598248,0.716646,0.739629,0.279895,0.521455,0.068615,0.200000,0.200000,0.230000,0.260000,0.600000,0.800000,1.000000,1.000000
MMR.AU_01,14,0.359455,0.383702,0.405145,0.409044,0.521281,0.535003,0.559702,0.564784,0.424158,0.474080,0.540327,0.558247,0.587519,0.606889,0.673749,0.694547,0.317719,0.472462,0.069008,0.280000,0.320000,0.310000,0.293333,0.800000,0.800000,1.000000,1.000000
