runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MaxMin.AU_08,1,0.333737,0.361692,0.380552,0.381849,0.477696,0.500532,0.522664,0.524054,0.401597,0.456881,0.519707,0.525818,0.545552,0.580322,0.645935,0.651493,0.284014,0.419661,0.064038,0.320000,0.260000,0.270000,0.260000,0.800000,1.000000,1.000000,1.000000
MaxMin.AU_08,3,0.276551,0.301120,0.319128,0.329036,0.402643,0.420425,0.441710,0.455258,0.303021,0.357891,0.412132,0.462636,0.422010,0.458478,0.515211,0.577477,0.262409,0.391031,0.054357,0.240000,0.260000,0.260000,0.253333,0.400000,0.600000,0.800000,1.000000
MaxMin.AU_08,5,0.432375,0.449599,0.452244,0.470036,0.655505,0.649640,0.646669,0.671823,0.440288,0.478519,0.486271,0.570335,0.637477,0.629247,0.620855,0.726934,0.431502,0.675926,0.164357,0.320000,0.280000,0.240000,0.253333,0.600000,0.600000,0.600000,1.000000
MaxMin.AU_08,6,0.374584,0.406926,0.425276,0.429142,0.516048,0.544286,0.565618,0.570401,0.427221,0.493744,0.555061,0.573780,0.559558,0.610033,0.674512,0.695409,0.351744,0.495770,0.095414,0.280000,0.300000,0.280000,0.280000,0.800000,0.800000,1.000000,1.000000
MaxMin.AU_08,7,0.485325,0.514379,0.531989,0.532872,0.662810,0.681542,0.702328,0.703377,0.540966,0.601352,0.657907,0.662023,0.699128,0.732301,0.792978,0.797388,0.440177,0.617795,0.092508,0.320000,0.300000,0.320000,0.306667,1.000000,1.000000,1.000000,1.000000
MaxMin.AU_08,8,0.419365,0.447861,0.464383,0.466364,0.589286,0.610581,0.629278,0.631827,0.490191,0.551876,0.602507,0.612525,0.649212,0.688786,0.739344,0.750971,0.383236,0.559120,0.084051,0.320000,0.260000,0.270000,0.273333,1.000000,1.000000,1.000000,1.000000
MaxMin.AU_08,9,0.370348,0.408104,0.412613,0.415173,0.545941,0.575159,0.575951,0.579203,0.446748,0.527822,0.541855,0.554233,0.631048,0.681475,0.680832,0.694783,0.318882,0.480951,0.070069,0.280000,0.300000,0.300000,0.293333,1.000000,1.000000,1.000000,1.000000
MaxMin.AU_08,10,0.327383,0.393940,0.409216,0.411639,0.476232,0.550051,0.566933,0.570115,0.366564,0.506858,0.557823,0.568956,0.507617,0.646442,0.695956,0.708955,0.314626,0.471580,0.083165,0.280000,0.260000,0.270000,0.260000,0.600000,1.000000,1.000000,1.000000
MaxMin.AU_08,11,0.487746,0.540953,0.552214,0.553776,0.663374,0.715599,0.726850,0.728773,0.520505,0.632238,0.666966,0.674504,0.670705,0.771488,0.802436,0.810900,0.473794,0.660777,0.093004,0.320000,0.300000,0.280000,0.273333,0.800000,1.000000,1.000000,1.000000
MaxMin.AU_08,12,0.412708,0.457588,0.473090,0.480517,0.608385,0.644899,0.660469,0.670394,0.420550,0.513314,0.561707,0.597463,0.594042,0.662744,0.706166,0.749053,0.412298,0.621845,0.080305,0.240000,0.240000,0.260000,0.260000,0.600000,0.800000,1.000000,1.000000
