runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MaxSum.AU_04,1,0.344024,0.387096,0.394365,0.396100,0.492421,0.535687,0.541635,0.543612,0.411026,0.509304,0.531675,0.539583,0.558362,0.646909,0.660810,0.668548,0.297589,0.439720,0.080257,0.360000,0.340000,0.280000,0.280000,0.800000,1.000000,1.000000,1.000000
MaxSum.AU_04,3,0.311044,0.317352,0.332990,0.333989,0.452863,0.443089,0.460896,0.462112,0.358302,0.371440,0.428137,0.433335,0.499000,0.475834,0.535220,0.540903,0.277580,0.413639,0.054414,0.280000,0.260000,0.250000,0.246667,0.600000,0.600000,0.800000,0.800000
MaxSum.AU_04,5,0.432375,0.441074,0.455760,0.456420,0.655505,0.637324,0.651696,0.652362,0.440288,0.458608,0.510236,0.513294,0.637477,0.603065,0.651452,0.654231,0.430849,0.674902,0.151920,0.320000,0.260000,0.240000,0.233333,0.600000,0.600000,0.800000,0.800000
MaxSum.AU_04,6,0.383661,0.405148,0.423393,0.425283,0.528554,0.541907,0.563114,0.565271,0.441403,0.487995,0.549396,0.558176,0.578132,0.602930,0.667627,0.676497,0.354075,0.499055,0.105925,0.280000,0.240000,0.230000,0.253333,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_04,7,0.516793,0.540059,0.561700,0.564350,0.705785,0.715567,0.741553,0.744927,0.549316,0.599939,0.668066,0.680709,0.709920,0.730580,0.805224,0.819895,0.504459,0.708016,0.090053,0.320000,0.300000,0.280000,0.293333,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_04,8,0.365507,0.431801,0.445642,0.446381,0.513605,0.588685,0.603882,0.604753,0.413040,0.552653,0.597254,0.600683,0.547033,0.689756,0.732898,0.736452,0.351293,0.512517,0.073380,0.240000,0.280000,0.290000,0.273333,0.800000,1.000000,1.000000,1.000000
MaxSum.AU_04,9,0.367927,0.402485,0.420671,0.422037,0.542373,0.567241,0.587199,0.588780,0.445069,0.518710,0.576468,0.582785,0.628676,0.669711,0.724322,0.730575,0.313709,0.473148,0.080138,0.280000,0.260000,0.280000,0.280000,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_04,10,0.376399,0.403688,0.430039,0.434105,0.547535,0.563662,0.595781,0.601229,0.429173,0.485734,0.569051,0.588180,0.594317,0.619500,0.709965,0.732908,0.353240,0.529456,0.065209,0.280000,0.240000,0.230000,0.233333,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_04,11,0.513162,0.550028,0.557036,0.558675,0.697942,0.727604,0.733196,0.735222,0.561605,0.642767,0.665098,0.672502,0.723666,0.784336,0.800189,0.808494,0.482329,0.672680,0.076863,0.320000,0.300000,0.280000,0.260000,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_04,12,0.412708,0.475316,0.489227,0.492169,0.608385,0.669884,0.682996,0.686650,0.420550,0.553993,0.598815,0.611707,0.594042,0.715264,0.752818,0.766911,0.413497,0.623653,0.076474,0.240000,0.220000,0.240000,0.233333,0.600000,1.000000,1.000000,1.000000
MaxSum.AU_04,13,0.292890,0.314160,0.353536,0.356740,0.517094,0.522463,0.580659,0.585393,0.329940,0.375727,0.503592,0.519745,0.529306,0.538603,0.698385,0.718252,0.269901,0.502836,0.076452,0.200000,0.200000,0.230000,0.233333,0.600000,0.600000,1.000000,1.000000
MaxSum.AU_04,14,0.438124,0.493366,0.505839,0.509331,0.635366,0.687910,0.698810,0.703255,0.461651,0.581163,0.620673,0.637064,0.639452,0.743971,0.773934,0.792607,0.423588,0.629895,0.070151,0.240000,0.280000,0.270000,0.266667,0.800000,1.000000,1.000000,1.000000
MaxSum.AU_04,16,0.329198,0.368375,0.375330,0.385912,0.462585,0.503553,0.509568,0.523749,0.386665,0.468042,0.491240,0.538372,0.512101,0.586845,0.604140,0.661133,0.291752,0.425924,0.062585,0.240000,0.260000,0.260000,0.293333,0.800000,0.800000,0.800000,1.000000
MaxSum.AU_04,18,0.320726,0.326796,0.354054,0.362668,0.450680,0.445257,0.479743,0.491267,0.364878,0.377390,0.463203,0.502601,0.483247,0.470548,0.568591,0.616189,0.294118,0.429045,0.064875,0.280000,0.240000,0.240000,0.260000,0.600000,0.600000,1.000000,1.000000
MaxSum.AU_04,21,0.490166,0.501641,0.511873,0.513913,0.725806,0.713536,0.721901,0.724422,0.529517,0.552242,0.583959,0.593017,0.742134,0.714410,0.737554,0.747489,0.464071,0.715769,0.104713,0.360000,0.320000,0.290000,0.286667,0.800000,0.800000,0.800000,0.800000
MaxSum.AU_04,22,0.495613,0.524410,0.533535,0.535424,0.676860,0.694833,0.704299,0.706698,0.556862,0.620681,0.651459,0.660279,0.719671,0.755839,0.785029,0.795213,0.443815,0.622900,0.086323,0.360000,0.320000,0.280000,0.280000,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_04,23,0.303177,0.343826,0.363626,0.369365,0.547541,0.585577,0.607980,0.616518,0.334145,0.432051,0.492540,0.518908,0.554326,0.640729,0.694903,0.727261,0.289386,0.545348,0.106587,0.240000,0.220000,0.220000,0.226667,0.600000,1.000000,1.000000,1.000000
MaxSum.AU_04,24,0.282602,0.348514,0.370532,0.370707,0.339266,0.409904,0.434446,0.434618,0.329727,0.475861,0.542647,0.543445,0.387698,0.536523,0.606270,0.606968,0.250262,0.304842,0.177454,0.240000,0.260000,0.340000,0.300000,0.600000,1.000000,1.000000,1.000000
MaxSum.AU_04,25,0.412708,0.437512,0.462426,0.462641,0.579932,0.598097,0.627965,0.627994,0.420550,0.472086,0.551959,0.552941,0.556979,0.591946,0.679254,0.679264,0.409419,0.597714,0.067499,0.240000,0.240000,0.280000,0.280000,0.600000,0.600000,1.000000,1.000000
MaxSum.AU_04,26,0.415129,0.427147,0.467376,0.472863,0.569767,0.569602,0.619559,0.626702,0.437404,0.462915,0.581749,0.606949,0.569979,0.569362,0.703672,0.733515,0.393757,0.553874,0.093725,0.280000,0.260000,0.300000,0.306667,0.600000,0.600000,1.000000,1.000000
MaxSum.AU_04,31,0.392436,0.400013,0.410423,0.419859,0.558570,0.550557,0.560723,0.573526,0.411026,0.426622,0.459859,0.503903,0.554785,0.538791,0.568850,0.622940,0.370015,0.543396,0.070372,0.320000,0.260000,0.240000,0.260000,0.600000,0.600000,0.600000,0.800000
MaxSum.AU_04,32,0.522239,0.541010,0.562653,0.564431,0.724297,0.729996,0.755781,0.757990,0.557129,0.600158,0.668466,0.677551,0.725793,0.741176,0.815098,0.825363,0.506843,0.731566,0.121418,0.400000,0.340000,0.360000,0.346667,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_04,33,0.330408,0.374186,0.393234,0.396083,0.455190,0.500494,0.523002,0.526460,0.380171,0.466549,0.524720,0.538721,0.497934,0.576433,0.637641,0.652918,0.305594,0.430723,0.082845,0.280000,0.320000,0.310000,0.306667,0.600000,0.800000,1.000000,1.000000
MaxSum.AU_04,34,0.444175,0.471279,0.495964,0.497559,0.619409,0.638669,0.668768,0.670767,0.466216,0.524050,0.609173,0.617639,0.611136,0.649789,0.744807,0.754450,0.430249,0.624545,0.061578,0.240000,0.240000,0.250000,0.260000,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_04,35,0.285628,0.327443,0.359278,0.362207,0.406546,0.451674,0.491557,0.495314,0.317202,0.413886,0.518797,0.532037,0.428145,0.524428,0.642248,0.657263,0.268701,0.394876,0.095173,0.200000,0.220000,0.250000,0.260000,0.600000,0.800000,1.000000,1.000000
MaxSum.AU_04,37,0.265658,0.288140,0.329157,0.332107,0.367364,0.389106,0.440579,0.444165,0.287396,0.341525,0.477225,0.491136,0.378356,0.428498,0.583527,0.598460,0.254765,0.360408,0.105675,0.200000,0.200000,0.260000,0.253333,0.400000,0.600000,1.000000,1.000000
MaxSum.AU_04,38,0.361876,0.388350,0.395696,0.397782,0.515073,0.532982,0.539699,0.542373,0.417996,0.473067,0.498667,0.509312,0.564192,0.594015,0.615234,0.627542,0.332074,0.487547,0.072032,0.280000,0.300000,0.280000,0.280000,0.800000,0.800000,0.800000,0.800000
MaxSum.AU_04,39,0.411800,0.444376,0.464815,0.467647,0.574747,0.598979,0.622276,0.625909,0.425929,0.500477,0.567109,0.579636,0.567194,0.621688,0.691066,0.705593,0.400173,0.569912,0.097664,0.320000,0.280000,0.280000,0.273333,0.600000,0.800000,1.000000,1.000000
MaxSum.AU_04,40,0.313464,0.379468,0.396282,0.397959,0.445017,0.519987,0.539545,0.541618,0.359982,0.499783,0.553174,0.560544,0.484943,0.627534,0.681955,0.689925,0.289739,0.423973,0.096420,0.200000,0.260000,0.260000,0.280000,0.800000,1.000000,1.000000,1.000000
MaxSum.AU_04,41,0.289259,0.309586,0.352520,0.356919,0.400000,0.415855,0.470052,0.475723,0.327054,0.372009,0.501535,0.522188,0.430566,0.462066,0.609979,0.634018,0.264977,0.374527,0.074839,0.200000,0.200000,0.220000,0.240000,0.600000,0.600000,1.000000,1.000000
MaxSum.AU_04,42,0.298941,0.335459,0.359573,0.363913,0.442652,0.477073,0.506901,0.512811,0.334505,0.420164,0.502448,0.522949,0.468820,0.543464,0.634173,0.658957,0.279284,0.430733,0.046593,0.200000,0.220000,0.220000,0.220000,0.600000,0.800000,1.000000,1.000000
MaxSum.AU_04,43,0.298941,0.352235,0.361420,0.373741,0.422222,0.482537,0.491508,0.508080,0.334505,0.442984,0.472941,0.529700,0.446790,0.556929,0.582427,0.651346,0.285127,0.416771,0.065461,0.200000,0.260000,0.280000,0.273333,0.600000,0.800000,0.800000,1.000000
MaxSum.AU_04,44,0.307413,0.360001,0.381807,0.384442,0.453167,0.507330,0.532849,0.536231,0.355416,0.467681,0.536399,0.549385,0.502038,0.603788,0.673847,0.688585,0.278729,0.420384,0.072472,0.200000,0.200000,0.230000,0.233333,0.800000,1.000000,1.000000,1.000000
MaxSum.AU_04,45,0.433283,0.457502,0.464417,0.469952,0.608844,0.624803,0.630177,0.637519,0.515431,0.568411,0.589499,0.614596,0.682640,0.711113,0.724357,0.754368,0.384671,0.561565,0.079868,0.360000,0.300000,0.270000,0.273333,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_04,46,0.341301,0.365265,0.387073,0.391587,0.482051,0.500876,0.526792,0.532742,0.395795,0.447306,0.521986,0.542973,0.528653,0.563088,0.643244,0.668100,0.307504,0.449643,0.061539,0.240000,0.260000,0.300000,0.293333,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_04,53,0.387897,0.435211,0.457126,0.460919,0.461483,0.507982,0.532300,0.536678,0.391378,0.495083,0.569578,0.587344,0.455171,0.553945,0.632878,0.652412,0.386190,0.466443,0.063430,0.240000,0.260000,0.290000,0.293333,0.600000,0.800000,1.000000,1.000000
