runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MonoObjective.AU_04,1,0.509834,0.533990,0.542626,0.543999,0.729753,0.738969,0.745262,0.746591,0.557096,0.606623,0.636283,0.643015,0.756791,0.770522,0.790825,0.796702,0.480210,0.709562,0.090234,0.400000,0.320000,0.300000,0.286667,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_04,3,0.276551,0.300545,0.305356,0.320181,0.402643,0.419623,0.422647,0.443007,0.303021,0.356983,0.375067,0.443486,0.422010,0.457315,0.468876,0.553573,0.262196,0.390713,0.053604,0.240000,0.240000,0.260000,0.253333,0.400000,0.600000,0.600000,1.000000
MonoObjective.AU_04,5,0.411800,0.425795,0.429938,0.430289,0.624312,0.615246,0.614773,0.615012,0.425929,0.455079,0.469252,0.470889,0.616687,0.598424,0.599125,0.600182,0.399203,0.625331,0.150096,0.320000,0.260000,0.240000,0.226667,0.600000,0.600000,0.600000,0.600000
MonoObjective.AU_04,6,0.280787,0.318841,0.343173,0.347080,0.386828,0.426466,0.456422,0.461327,0.328651,0.408894,0.491640,0.510502,0.430454,0.505198,0.597442,0.618717,0.243590,0.343330,0.133518,0.240000,0.240000,0.260000,0.266667,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_04,7,0.487746,0.504950,0.531622,0.534761,0.666116,0.669048,0.701844,0.705870,0.520505,0.558162,0.644258,0.659053,0.672684,0.679705,0.776528,0.793811,0.468582,0.657661,0.109354,0.320000,0.320000,0.320000,0.326667,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_04,8,0.394554,0.432116,0.439293,0.439955,0.554422,0.589115,0.595278,0.596048,0.479676,0.563423,0.586197,0.589242,0.635285,0.703198,0.719330,0.722426,0.336399,0.490787,0.077100,0.320000,0.320000,0.270000,0.260000,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_04,9,0.380030,0.420521,0.434380,0.436383,0.560214,0.592660,0.606335,0.608794,0.454199,0.542389,0.585946,0.595356,0.641573,0.700283,0.736231,0.746334,0.332654,0.501723,0.074340,0.280000,0.280000,0.290000,0.273333,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_04,10,0.389107,0.421223,0.437364,0.447574,0.566021,0.588146,0.605928,0.619884,0.403033,0.479771,0.529165,0.576267,0.558119,0.611895,0.660202,0.718065,0.372353,0.558104,0.081750,0.240000,0.240000,0.220000,0.240000,0.600000,0.800000,0.800000,1.000000
MonoObjective.AU_04,11,0.468381,0.514436,0.529464,0.530922,0.637037,0.680521,0.696904,0.698698,0.499144,0.598532,0.646174,0.652967,0.643181,0.730359,0.777422,0.785008,0.450451,0.628221,0.081329,0.280000,0.280000,0.290000,0.266667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_04,12,0.389107,0.427635,0.443519,0.448251,0.573595,0.602686,0.619185,0.625377,0.403033,0.494795,0.549878,0.572517,0.569299,0.638835,0.691295,0.717778,0.372711,0.562138,0.087560,0.240000,0.240000,0.260000,0.260000,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_04,13,0.298941,0.336060,0.364464,0.367484,0.527778,0.558885,0.598607,0.603022,0.334505,0.417650,0.513370,0.528423,0.536630,0.598699,0.711944,0.730244,0.280377,0.522353,0.081053,0.200000,0.200000,0.230000,0.233333,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_04,14,0.366717,0.398960,0.408248,0.409525,0.531812,0.556279,0.563990,0.565448,0.436896,0.510092,0.542805,0.548575,0.605163,0.652990,0.676839,0.682512,0.319173,0.474624,0.068655,0.320000,0.300000,0.300000,0.273333,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_04,16,0.444175,0.473176,0.493258,0.497760,0.624150,0.646812,0.669674,0.675547,0.466216,0.527310,0.591122,0.612575,0.617459,0.661157,0.726978,0.752255,0.430644,0.628690,0.068742,0.240000,0.260000,0.270000,0.280000,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_04,18,0.305598,0.316520,0.325865,0.340925,0.429422,0.431256,0.441546,0.461815,0.350490,0.372810,0.410184,0.477353,0.464191,0.464838,0.503509,0.585235,0.274610,0.400588,0.075801,0.280000,0.260000,0.240000,0.253333,0.600000,0.600000,0.800000,1.000000
MonoObjective.AU_04,21,0.499244,0.507004,0.518750,0.519641,0.739247,0.721163,0.731600,0.732497,0.540215,0.555070,0.593287,0.597529,0.757128,0.718068,0.749335,0.753176,0.471769,0.727642,0.101138,0.400000,0.320000,0.300000,0.293333,0.800000,0.800000,0.800000,0.800000
