runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
baseline.AU_05,1,0.337973,0.375033,0.381925,0.387242,0.483759,0.518995,0.524549,0.531455,0.390778,0.465571,0.486729,0.513079,0.530855,0.591360,0.604947,0.635709,0.309094,0.456720,0.065326,0.320000,0.320000,0.270000,0.266667,0.800000,1.000000,1.000000,1.000000
baseline.AU_05,3,0.200000,0.238164,0.249663,0.252552,0.291189,0.332526,0.345563,0.349434,0.200000,0.277505,0.316168,0.330892,0.278535,0.355500,0.395246,0.413030,0.205922,0.306856,0.049111,0.200000,0.240000,0.250000,0.240000,0.200000,0.400000,0.600000,0.600000
baseline.AU_05,5,0.345234,0.360318,0.387647,0.399922,0.523394,0.520636,0.554300,0.571608,0.331711,0.369072,0.453762,0.511260,0.480272,0.485326,0.579348,0.651638,0.350719,0.549383,0.103189,0.240000,0.240000,0.240000,0.253333,0.400000,0.600000,0.800000,1.000000
baseline.AU_05,6,0.303782,0.322312,0.335931,0.340803,0.418508,0.431109,0.446790,0.452984,0.345564,0.385674,0.434298,0.455871,0.452607,0.476510,0.527760,0.552506,0.276411,0.389592,0.089212,0.240000,0.220000,0.240000,0.246667,0.600000,0.600000,0.800000,0.800000
baseline.AU_05,7,0.468381,0.484534,0.494478,0.498023,0.639669,0.641998,0.652807,0.657377,0.499144,0.532131,0.571999,0.590430,0.645078,0.648007,0.689433,0.711157,0.448165,0.629006,0.069117,0.320000,0.280000,0.270000,0.266667,0.800000,0.800000,1.000000,1.000000
baseline.AU_05,8,0.398185,0.420342,0.442101,0.442980,0.559524,0.573064,0.599084,0.600146,0.482562,0.528918,0.596040,0.600209,0.639108,0.660132,0.731409,0.735871,0.340502,0.496773,0.068021,0.320000,0.300000,0.300000,0.286667,1.000000,1.000000,1.000000,1.000000
baseline.AU_05,9,0.462330,0.510299,0.527536,0.529203,0.681534,0.719189,0.736368,0.738286,0.494579,0.595594,0.649734,0.657638,0.698610,0.768976,0.816379,0.824410,0.442696,0.667693,0.078841,0.320000,0.260000,0.280000,0.273333,0.800000,1.000000,1.000000,1.000000
baseline.AU_05,10,0.363691,0.402872,0.437965,0.440726,0.529049,0.562523,0.606761,0.610399,0.358450,0.448912,0.567046,0.580219,0.496380,0.572537,0.707464,0.722989,0.365457,0.547768,0.075718,0.240000,0.220000,0.230000,0.240000,0.400000,0.800000,1.000000,1.000000
baseline.AU_05,11,0.395764,0.403623,0.439722,0.442978,0.538272,0.533932,0.578782,0.582963,0.450533,0.465878,0.575797,0.591655,0.580543,0.568487,0.692749,0.711298,0.372102,0.518952,0.068433,0.280000,0.240000,0.290000,0.293333,0.800000,0.800000,1.000000,1.000000
baseline.AU_05,12,0.346747,0.378316,0.393095,0.398897,0.511151,0.533178,0.548789,0.556520,0.407091,0.474553,0.526614,0.553266,0.575030,0.612699,0.662048,0.693643,0.308629,0.465487,0.077611,0.280000,0.280000,0.250000,0.246667,0.800000,0.800000,1.000000,1.000000
baseline.AU_05,13,0.298941,0.322484,0.361293,0.363952,0.527778,0.536306,0.593399,0.597227,0.334505,0.383849,0.513629,0.526244,0.536630,0.550245,0.712304,0.727234,0.280062,0.521766,0.074820,0.200000,0.200000,0.230000,0.240000,0.600000,0.600000,1.000000,1.000000
baseline.AU_05,14,0.404841,0.422804,0.444248,0.445197,0.587100,0.589525,0.613722,0.614702,0.464715,0.502543,0.579503,0.583561,0.643696,0.643326,0.722599,0.726041,0.377433,0.561259,0.073848,0.320000,0.320000,0.310000,0.306667,0.800000,0.800000,1.000000,1.000000
baseline.AU_05,16,0.298941,0.348514,0.378147,0.381957,0.420068,0.476404,0.513393,0.518382,0.334505,0.437746,0.529121,0.546703,0.443021,0.548859,0.650728,0.671363,0.283837,0.414369,0.072016,0.200000,0.260000,0.280000,0.320000,0.600000,0.800000,1.000000,1.000000
baseline.AU_05,18,0.291074,0.334432,0.344870,0.353869,0.409014,0.455661,0.467298,0.479349,0.309839,0.404172,0.440598,0.483913,0.410353,0.503942,0.540843,0.593277,0.292781,0.427095,0.047651,0.240000,0.220000,0.240000,0.253333,0.400000,0.800000,0.800000,1.000000
baseline.AU_05,21,0.417852,0.459531,0.478065,0.479964,0.618728,0.653638,0.674222,0.676567,0.414811,0.496848,0.554842,0.563897,0.581371,0.642750,0.700778,0.710783,0.432719,0.667412,0.069630,0.280000,0.280000,0.280000,0.266667,0.600000,0.800000,0.800000,0.800000
baseline.AU_05,22,0.514977,0.539582,0.555083,0.557315,0.703306,0.714935,0.732745,0.735592,0.559565,0.613886,0.660853,0.671442,0.723165,0.747564,0.796349,0.808656,0.487027,0.683549,0.085510,0.360000,0.320000,0.290000,0.280000,1.000000,1.000000,1.000000,1.000000
baseline.AU_05,23,0.200000,0.256102,0.269085,0.283431,0.361202,0.436172,0.449908,0.473083,0.200000,0.324145,0.366018,0.431910,0.331788,0.480706,0.516398,0.605331,0.206083,0.388363,0.090396,0.200000,0.200000,0.210000,0.233333,0.200000,0.800000,0.800000,1.000000
